# Rime table
#@/db_name	cn_en.txt
#@/db_type	tabledb
#@/tick	0
ENSO循环	ensoxunhuan
方块A	fangkuaia
方块J	fangkuaij
甘D	ganD	0
赣D	ganD	0
甘E	ganE	0
赣E	ganE	0
甘F	ganF	0
赣F	ganF	0
甘G	ganG	0
赣G	ganG	0
甘H	ganH	0
赣H	ganH	0
甘J	ganJ	0
赣J	ganJ	0
甘K	ganK	0
赣K	ganK	0
甘L	ganL	0
赣L	ganL	0
甘M	ganM	0
赣M	ganM	0
甘N	ganN	0
甘P	ganP	0
G杯	gbei	0
G点	gdian	0
哥尔·D·罗杰	geerDluojie	0
哥尔·D·罗杰	geerdluojie	0
Go程	gocheng	0
公网IP	gongwangIP	0
公网IP	gongwangip	0
Go圣经	goshengjing	0
Go语言	goyuyan	0
G盘	gpan	0
G胖	gpang	0
关底BOSS	guandiBOSS	0
关底BOSS	guandiboss	0
桂A	guiA	0
贵A	guiA	0
桂B	guiB	0
贵B	guiB	0
桂C	guiC	0
贵C	guiC	0
桂D	guiD	0
贵D	guiD	0
桂E	guiE	0
贵E	guiE	0
桂F	guiF	0
贵F	guiF	0
桂G	guiG	0
贵G	guiG	0
桂H	guiH	0
贵H	guiH	0
桂J	guiJ	0
贵J	guiJ	0
桂K	guiK	0
桂L	guiL	0
桂M	guiM	0
桂N	guiN	0
桂P	guiP	0
桂R	guiR	0
G罩	gzhao	0
G罩杯	gzhaobei	0
喊cut	hancut	0
H版	hban	0
H杯	hbei	0
黑A	heiA	0
黑B	heiB	0
黑C	heiC	0
黑D	heiD	0
黑E	heiE	0
黑F	heiF	0
黑G	heiG	0
黑H	heiH	0
黑J	heiJ	0
黑K	heiK	0
黑L	heiL	0
黑M	heiM	0
黑N	heiN	0
黑P	heiP	0
黑R	heiR	0
很OK	henOK	0
很OK	henok	0
H股	hgu	0
hold住	holdzhu	0
红Buff	hongBuff	0
红Buff	hongbuff	0
换IP	huanIP	0
换IP	huanip	0
互fo	hufo	0
H罩	hzhao	0
H罩杯	hzhaobei	0
iOS版	iOSban	0
iOS版本	iOSbanben	0
iOS端	iOSduan	0
ICP备案	icpbeian	0
